# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
2.600000000000000089e-01,-3.881370417330656242e-01,-1.051178347852328443e+00,-3.529228400753877670e-01,1.974572710807446008e+00,-2.044903889767673011e+00,8.186026321657954297e-01,8.701712383205538748e-01,-2.281999999999999862e-01,-3.075999999999999845e-01,1.402099999999999902e+00,1.823499999999999899e+00,9.400000000000000022e-02,-1.110000000000000049e-02,3.282999999999999807e-01
2.700000000000000178e-01,-3.734598061108934108e-01,-1.046522071896426542e+00,-3.707133105087734304e-01,1.971633410412962695e+00,-2.033903864535326456e+00,8.119513449811688321e-01,8.708383387081815030e-01,-2.293000000000000038e-01,-3.101999999999999758e-01,1.400500000000000078e+00,1.820100000000000051e+00,9.360000000000000264e-02,-4.199999999999999740e-03,3.286999999999999922e-01
2.800000000000000266e-01,-3.964191210313145475e-01,-1.053694598119187198e+00,-3.392946914441291595e-01,1.972811205172675830e+00,-2.025189466892391099e+00,8.266181324707206901e-01,8.585678650652658339e-01,-2.285999999999999976e-01,-3.136999999999999789e-01,1.401699999999999946e+00,1.818500000000000005e+00,9.429999999999999494e-02,3.500000000000000073e-03,3.282999999999999807e-01
2.899999999999999800e-01,-3.964294402607224099e-01,-1.053795100829726605e+00,-3.381576933987383571e-01,1.970996615780295835e+00,-2.014600145377250406e+00,8.275595400446035255e-01,8.539139658501092578e-01,-2.288999999999999924e-01,-3.164000000000000146e-01,1.400900000000000034e+00,1.815800000000000081e+00,9.400000000000000022e-02,1.110000000000000049e-02,3.290000000000000147e-01
2.999999999999999889e-01,-4.349537154907546221e-01,-1.064503237734045760e+00,-2.870571916537238977e-01,1.973065346639510942e+00,-2.007013782822828052e+00,8.505510197932221184e-01,8.357397167031609397e-01,-2.288999999999999924e-01,-3.205999999999999961e-01,1.399000000000000021e+00,1.813199999999999923e+00,9.360000000000000264e-02,2.029999999999999860e-02,3.294000000000000261e-01
3.099999999999999978e-01,-4.723515159485343617e-01,-1.072042994407398364e+00,-2.376352138086438304e-01,1.973543058868241218e+00,-1.999928363180270008e+00,8.727819707841197872e-01,8.222213875240322878e-01,-2.281999999999999862e-01,-3.244000000000000217e-01,1.397799999999999931e+00,1.810899999999999954e+00,9.279999999999999361e-02,2.649999999999999925e-02,3.294000000000000261e-01
3.200000000000000067e-01,-5.182232283575510801e-01,-1.080288208274988504e+00,-1.758671104720367917e-01,1.974386260863132625e+00,-1.993710637930213636e+00,8.993150509538959669e-01,8.083689235196420686e-01,-2.281999999999999862e-01,-3.264000000000000234e-01,1.397499999999999964e+00,1.808899999999999952e+00,9.320000000000000506e-02,3.529999999999999805e-02,3.294000000000000261e-01
3.300000000000000155e-01,-5.599542723853710990e-01,-1.085792860682601724e+00,-1.203308791501374181e-01,1.973384051783808824e+00,-1.988273104864759944e+00,9.226974656698990751e-01,7.949780138765418780e-01,-2.270000000000000073e-01,-3.310000000000000164e-01,1.395899999999999919e+00,1.806300000000000017e+00,9.279999999999999361e-02,4.220000000000000140e-02,3.282999999999999807e-01
3.400000000000000244e-01,-5.717345690683102166e-01,-1.087612077478278261e+00,-1.042057185090486809e-01,1.971941446055074820e+00,-1.978794722786500149e+00,9.313109356651422255e-01,7.864792745698923060e-01,-2.273999999999999910e-01,-3.336000000000000076e-01,1.395499999999999963e+00,1.804000000000000048e+00,9.170000000000000373e-02,5.020000000000000157e-02,3.294000000000000261e-01
3.499999999999999778e-01,-6.132879360320696582e-01,-1.092282041614246468e+00,-4.978798137113529115e-02,1.971485902330735840e+00,-1.973805218049568655e+00,9.547103197544388742e-01,7.710808019109487432e-01,-2.281999999999999862e-01,-3.371000000000000107e-01,1.393999999999999906e+00,1.801299999999999901e+00,8.970000000000000195e-02,5.790000000000000008e-02,3.294000000000000261e-01
3.599999999999999867e-01,-5.706600977966196364e-01,-1.089174927593012043e+00,-1.039767259810815137e-01,1.970114305382631992e+00,-1.957439988499412253e+00,9.353597559111209714e-01,7.769395083539969438e-01,-2.270000000000000073e-01,-3.405000000000000249e-01,1.393599999999999950e+00,1.799400000000000110e+00,8.630000000000000171e-02,6.600000000000000311e-02,3.290000000000000147e-01
3.699999999999999956e-01,-6.054106860883891050e-01,-1.093909639239904141e+00,-5.822365215225014379e-02,1.968812187723692819e+00,-1.951297784685232184e+00,9.555677687476333837e-01,7.607118323955308625e-01,-2.265999999999999959e-01,-3.436000000000000165e-01,1.393199999999999994e+00,1.796699999999999964e+00,8.250000000000000389e-02,7.480000000000000537e-02,3.290000000000000147e-01
