# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
3.200000000000000067e-01,2.300999999999999990e-01,-2.772999999999999909e-01,-1.405899999999999928e+00,1.837299999999999933e+00,-8.550000000000000655e-02,-3.109999999999999917e-02,-3.279000000000000248e-01,-2.281999999999999862e-01,-3.264000000000000234e-01,1.397499999999999964e+00,1.808899999999999952e+00,9.320000000000000506e-02,3.529999999999999805e-02,3.294000000000000261e-01
3.300000000000000155e-01,2.300999999999999990e-01,-2.802999999999999936e-01,-1.405899999999999928e+00,1.834999999999999964e+00,-8.089999999999999969e-02,-2.299999999999999961e-02,-3.279000000000000248e-01,-2.270000000000000073e-01,-3.310000000000000164e-01,1.395899999999999919e+00,1.806300000000000017e+00,9.279999999999999361e-02,4.220000000000000140e-02,3.282999999999999807e-01
3.400000000000000244e-01,2.300999999999999990e-01,-2.826000000000000179e-01,-1.405899999999999928e+00,1.833499999999999908e+00,-7.979999999999999594e-02,-1.379999999999999977e-02,-3.279000000000000248e-01,-2.273999999999999910e-01,-3.336000000000000076e-01,1.395499999999999963e+00,1.804000000000000048e+00,9.170000000000000373e-02,5.020000000000000157e-02,3.294000000000000261e-01
3.499999999999999778e-01,2.300999999999999990e-01,-2.857000000000000095e-01,-1.406700000000000061e+00,1.832300000000000040e+00,-7.820000000000000562e-02,-5.799999999999999600e-03,-3.282999999999999807e-01,-2.281999999999999862e-01,-3.371000000000000107e-01,1.393999999999999906e+00,1.801299999999999901e+00,8.970000000000000195e-02,5.790000000000000008e-02,3.294000000000000261e-01
3.599999999999999867e-01,2.305000000000000104e-01,-2.879999999999999782e-01,-1.404700000000000060e+00,1.832300000000000040e+00,-7.860000000000000320e-02,3.799999999999999992e-03,-3.282999999999999807e-01,-2.270000000000000073e-01,-3.405000000000000249e-01,1.393599999999999950e+00,1.799400000000000110e+00,8.630000000000000171e-02,6.600000000000000311e-02,3.290000000000000147e-01
3.699999999999999956e-01,2.305000000000000104e-01,-2.914999999999999813e-01,-1.405899999999999928e+00,1.830400000000000027e+00,-7.979999999999999594e-02,1.269999999999999948e-02,-3.282999999999999807e-01,-2.265999999999999959e-01,-3.436000000000000165e-01,1.393199999999999994e+00,1.796699999999999964e+00,8.250000000000000389e-02,7.480000000000000537e-02,3.290000000000000147e-01
3.800000000000000044e-01,2.305000000000000104e-01,-2.953000000000000069e-01,-1.407000000000000028e+00,1.828100000000000058e+00,-7.900000000000000078e-02,2.149999999999999828e-02,-3.279000000000000248e-01,-2.258999999999999897e-01,-3.477999999999999980e-01,1.392900000000000027e+00,1.794799999999999951e+00,7.820000000000000562e-02,8.210000000000000631e-02,3.286999999999999922e-01
3.900000000000000133e-01,2.305000000000000104e-01,-2.979999999999999871e-01,-1.406700000000000061e+00,1.827399999999999913e+00,-7.939999999999999836e-02,3.030000000000000054e-02,-3.282999999999999807e-01,-2.265999999999999959e-01,-3.508999999999999897e-01,1.390200000000000102e+00,1.792499999999999982e+00,7.779999999999999416e-02,8.939999999999999336e-02,3.310000000000000164e-01
4.000000000000000222e-01,2.305000000000000104e-01,-3.022000000000000242e-01,-1.406300000000000106e+00,1.825399999999999912e+00,-7.820000000000000562e-02,4.030000000000000249e-02,-3.279000000000000248e-01,-2.263000000000000012e-01,-3.543000000000000038e-01,1.389799999999999924e+00,1.790200000000000014e+00,8.019999999999999352e-02,9.700000000000000289e-02,3.328999999999999737e-01
4.099999999999999756e-01,2.308999999999999941e-01,-3.055999999999999828e-01,-1.407000000000000028e+00,1.823900000000000077e+00,-8.019999999999999352e-02,4.989999999999999991e-02,-3.282999999999999807e-01,-2.263000000000000012e-01,-3.573999999999999955e-01,1.387899999999999912e+00,1.788200000000000012e+00,8.050000000000000211e-02,1.047000000000000014e-01,3.336000000000000076e-01
4.199999999999999845e-01,2.296999999999999875e-01,-3.090999999999999859e-01,-1.407000000000000028e+00,1.821199999999999930e+00,-7.979999999999999594e-02,5.940000000000000141e-02,-3.282999999999999807e-01,-2.265999999999999959e-01,-3.613000000000000100e-01,1.387100000000000000e+00,1.784799999999999942e+00,8.050000000000000211e-02,1.111999999999999933e-01,3.343999999999999750e-01
4.299999999999999933e-01,2.305000000000000104e-01,-3.129000000000000115e-01,-1.405899999999999928e+00,1.819700000000000095e+00,-8.019999999999999352e-02,7.019999999999999851e-02,-3.286999999999999922e-01,-2.258999999999999897e-01,-3.650999999999999801e-01,1.385999999999999899e+00,1.782100000000000017e+00,7.979999999999999594e-02,1.197000000000000008e-01,3.356000000000000094e-01
4.400000000000000022e-01,2.296999999999999875e-01,-3.164000000000000146e-01,-1.406300000000000106e+00,1.816599999999999993e+00,-8.019999999999999352e-02,7.939999999999999836e-02,-3.301999999999999935e-01,-2.263000000000000012e-01,-3.682000000000000273e-01,1.384400000000000075e+00,1.778999999999999915e+00,8.019999999999999352e-02,1.269000000000000128e-01,3.362999999999999878e-01
4.500000000000000111e-01,2.308999999999999941e-01,-3.197999999999999732e-01,-1.406300000000000106e+00,1.815499999999999892e+00,-7.779999999999999416e-02,8.820000000000000062e-02,-3.312999999999999834e-01,-2.265999999999999959e-01,-3.711999999999999744e-01,1.383699999999999930e+00,1.777099999999999902e+00,8.050000000000000211e-02,1.338000000000000023e-01,3.375000000000000222e-01
4.600000000000000200e-01,2.300999999999999990e-01,-3.229000000000000203e-01,-1.406700000000000061e+00,1.813900000000000068e+00,-7.900000000000000078e-02,9.470000000000000639e-02,-3.328999999999999737e-01,-2.258999999999999897e-01,-3.750999999999999890e-01,1.382900000000000018e+00,1.774000000000000021e+00,8.050000000000000211e-02,1.400000000000000133e-01,3.382000000000000006e-01
